id,name,lat,lng,alt,address,capacity,cross_street
1,"01 - C/ GRAN VIA CORTS CATALANES, 760",41.397952,2.180042,21,"01 - C/ GRAN VIA CORTS CATALANES, 760",30,
2,"02 - C/ ROGER DE FLOR, 126",41.39553,2.17706,21,"02 - C/ ROGER DE FLOR, 126",27,
3,"03 - C/ NÀPOLS, 82",41.394055,2.181299,22,"03 - C/ NÀPOLS, 82",27,
4,"04 - C/ RIBES, 13",41.39348,2.181555,21,"04 - C/ RIBES, 13",21,
5,"05 - PG. LLUIS COMPANYS, 11 (ARC TRIOMF)",41.391075,2.180223,16,"05 - PG. LLUIS COMPANYS, 11 (ARC TRIOMF)",38,
6,"06 - PG. LLUIS COMPANYS, 18  (ARC TRIOMF)",41.391349,2.18061,16,"06 - PG. LLUIS COMPANYS, 18  (ARC TRIOMF)",38,
7,"07 - PG. PUJADES,  1 (JUTJATS)",41.388856,2.183251,16,"07 - PG. PUJADES,  1 (JUTJATS)",26,
8,"08 - PG. PUJADES, 2",41.389088,2.183568,11,"08 - PG. PUJADES, 2",27,
9,"09 - AV. MARQUÉS DE L'ARGENTERA,13",41.384532,2.184921,11,"09 - AV. MARQUÉS DE L'ARGENTERA,13",26,
11,"11 - PG. MARITIM, 11 (DAVANT PL. BRUGADA)",41.381689,2.193914,1,"11 - PG. MARITIM, 11 (DAVANT PL. BRUGADA)",21,
12,"12 - PG. MARITIM, 23 (HOSPITAL DEL MAR)",41.384538,2.195679,0,"12 - PG. MARITIM, 23 (HOSPITAL DEL MAR)",26,
13,"13 - CARRER DE LA MARINA, 25-33",41.387985,2.19578,8,"13 - CARRER DE LA MARINA, 25-33",54,
14,"14 - AV. MARQUÉS DE  L'ARGENTERA, 15",41.384675,2.185039,11,"14 - AV. MARQUÉS DE  L'ARGENTERA, 15",26,
15,"15 - C/ GIRONA, 68",41.394812,2.171189,40,"15 - C/ GIRONA, 68",21,
17,"17 - AV. MERIDIANA, 47 (ANNEXA A LA 16)",41.398237,2.186711,18,"17 - AV. MERIDIANA, 47 (ANNEXA A LA 16)",42,
18,"18 - C/ ROSSELLÓ, 453",41.406086,2.174167,49,"18 - C/ ROSSELLÓ, 453",27,
19,"19 - C/ ROSSELLÓ, 354",41.403282,2.170726,49,"19 - C/ ROSSELLÓ, 354",30,
20,"20 - C/ CARTAGENA, 308",41.410166,2.175759,59,"20 - C/ CARTAGENA, 308",18,
21,"21 - C/ SANT ANTONI MARIA CLARET, 214",41.410897,2.17402,59,"21 - C/ SANT ANTONI MARIA CLARET, 214",21,
22,"22 - C/ SARDENYA, 292",41.401684,2.17568,28,"22 - C/ SARDENYA, 292",19,
23,"23 - C/ BRUC, 45",41.392526,2.171812,42,"23 - C/ BRUC, 45",27,
24,"24 - C/ MARINA, 199",41.400659,2.179111,30,"24 - C/ MARINA, 199",30,
25,"25 - C/ BRUC, 102",41.395179,2.168294,42,"25 - C/ BRUC, 102",21,
26,"26 - C/ DOS DE MAIG, 230-232",41.407035,2.181981,28,"26 - C/ DOS DE MAIG, 230-232",18,
27,"27 - C/ PROVENÇA, 322",41.396897,2.164373,49,"27 - C/ PROVENÇA, 322",21,
28,"28 - C/ SARDENYA, 362",41.405422,2.17064,45,"28 - C/ SARDENYA, 362",15,
29,"29 - C/ PROVENÇA, 388-390",41.401132,2.170028,50,"29 - C/ PROVENÇA, 388-390",23,
30,"30 - AV. DIAGONAL, 231 AMB PADILLA",41.402046,2.182286,28,"30 - AV. DIAGONAL, 231 AMB PADILLA",21,
31,31 - PL. DEL MAR,41.37481,2.18895,1,31 - PL. DEL MAR,17,
32,32 - LA BARCELONETA (CN BARCELONETA),41.373698,2.188927,1,32 - LA BARCELONETA (CN BARCELONETA),27,
33,33 - C/ PONTEVEDRA / JUDICI,41.376862,2.190773,1,33 - C/ PONTEVEDRA / JUDICI,21,
